username,password,user_type
maryfarner, password,Owner
slavap, supersecretpassword,Owner
johnny5525, password,Owner
becky65,password,Owner
steve100,password,Owner
arnoldman, password,Owner
treyvon18, password,Owner
lisa45, password,Owner
stephstep45, password,Owner
alexrocks, password,Owner
ryan12, password,Owner
sashagirl12, password,Owner
kingjames, password,Owner
ericlovesdogs, password,Owner
brooke3433, password,Owner
dannytheman, password,Owner
jason321, password,Owner
mouse1256, password,Owner
anyaisbest, password,Owner
johny21,password,Walker
alexzz,password, Walker
anna_43,password, Walker
kennedyfidfes,password, Walker
jordan_not_the_basketball_guy,password, Walker
taylorswift,password, Walker
drewbrew,password, Walker
blakester,password, Walker
hayden_the_first,password, Walker
skyler091,password, Walker
tatumchen,password, Walker
amazonriver,password, Walker
dakota_south,password, Walker
remyui,password, Walker
oakley1,password, Walker
leeeeee,password, Walker
coby_ui9,password, Walker
corey281,password, Walker
addison_85jd,password, Walker
chrisBrown,password, Walker
